Sumber,Rujuk,Keterangan
ISO 9001,pengurusan,Sistem pengurusan kualiti - Keperluan
ISO 9001,tanggungjawab,"MS yang disahkan: Malaysian Standard yang telah dikaji semula oleh jawatankuasa yang
bertanggungjawab dan mengesahkan bahawa kandungannya adalah terkini."
ISO 9001,pengurusan,"Jawatankuasa Standard Perindustrian mengenai Pengurusan Kualiti dan Penentuan Kualiti (ISC Y) yang di bawah
kuasanya Malaysian Standard ini diterima guna dianggotai oleh wakil daripada organisasi yang berikut:"
ISO 9001,pengurusan,"Jawatankuasa Teknikal mengenai Pengurusan Kualiti dan Penentuan Kualiti (TC2) mengenai Sistem Kualiti yang
mengesyorkan penerimagunaan Standard ISO dianggotai oleh wakil daripada organisasi yang berikut:"
ISO 9001,pengurusan,"Dewan Perdagangan dan Industri Antarabangsa Malaysia
Gabungan Pembekal-pembekal Perkhidmatan Malaysia
Institut Penyelidikan Sains dan Teknologi Pertahanan
Institute of Quality Malaysia
Jabatan Standard Malaysia
Lembaga Pembangunan Industri Pembinaan Malaysia
SIRIM Berhad (Sekretariat)
SIRIM QAS International Sdn Bhd
Unit Pemodenan Tadbiran dan Perancangan Pengurusan Malaysia
Universiti Malaya
Universiti Utara Malaysia"
ISO 9001,pengurusan,"Penerimagunaan Standard ISO sebagai Malaysian Standard telah disyorkan oleh
Jawatankuasa Teknikal mengenai Pengurusan Kualiti dan Penentuan Kualiti (TC2) mengenai
Sistem Kualiti di bawah kuasa Jawatankuasa Standard Perindustrian mengenai Pengurusan
Kualiti dan Penentuan Kualiti."
ISO 9001,tanggungjawab,"Perhatian perlu diberikan terhadap kemungkinan terdapat beberapa unsur dalam dokumen ini
boleh menjadi hal perkara hak paten. ISO tidak boleh dipertanggungjawabkan untuk
mengenal pasti apa-apa atau semua hak paten itu. Perincian mana-mana hak paten yang
dikenal pasti semasa pembangunan dokumen akan dimasukkan ke dalam Pengenalan
dan/atau senarai perisytiharan paten ISO yang diterima (lihat [http://www.iso.org/patents).](http://www.iso.org/patents).)"
ISO 9001,senarai,"Perhatian perlu diberikan terhadap kemungkinan terdapat beberapa unsur dalam dokumen ini
boleh menjadi hal perkara hak paten. ISO tidak boleh dipertanggungjawabkan untuk
mengenal pasti apa-apa atau semua hak paten itu. Perincian mana-mana hak paten yang
dikenal pasti semasa pembangunan dokumen akan dimasukkan ke dalam Pengenalan
dan/atau senarai perisytiharan paten ISO yang diterima (lihat [http://www.iso.org/patents).](http://www.iso.org/patents).)"
ISO 9001,tanggungjawab,"Jawatankuasa yang bertanggungjawab tentang dokumen ini ialah Technical Committee
ISO/TC 176, Quality management and quality assurance, Subcommittee SC 2, Quality
systems."
ISO 9001,pengurusan,"Edisi kelima ini membatalkan dan menggantikan edisi keempat (ISO 9001:2008), yang telah
disemak semula dari segi teknikal, melalui penerimagunaan kajian semula urutan klausa dan
penyesuaian kajian semula prinsip pengurusan kualiti dan konsep baharu. Edisi ini juga
membatalkan dan menggantikan Technical Corrigendum ISO 9001:2008/Cor.1:2009."
ISO 9001,pengurusan,"Penerimagunaan sistem pengurusan kualiti ialah suatu keputusan strategik untuk sesebuah
organisasi yang boleh membantu untuk meningkatkan prestasi secara menyeluruh dan
menyediakan asas yang kukuh bagi inisiatif pembangunan mampan."
ISO 9001,prestasi,"Penerimagunaan sistem pengurusan kualiti ialah suatu keputusan strategik untuk sesebuah
organisasi yang boleh membantu untuk meningkatkan prestasi secara menyeluruh dan
menyediakan asas yang kukuh bagi inisiatif pembangunan mampan."
ISO 9001,dasar,"Faedah yang mungkin kepada organisasi dalam melaksanakan sistem pengurusan kualiti
berdasarkan Standard Antarabangsa ini adalah:"
ISO 9001,pengurusan,"Faedah yang mungkin kepada organisasi dalam melaksanakan sistem pengurusan kualiti
berdasarkan Standard Antarabangsa ini adalah:"
ISO 9001,pelanggan,"a) keupayaan untuk menyediakan secara tekal produk dan perkhidmatan yang memenuhi
keperluan pelanggan, serta keperluan berkanun dan peraturan yang diguna pakai;"
ISO 9001,pelanggan,b) memudahkan peluang untuk meningkatkan kepuasan pelanggan;
ISO 9001,pengurusan,"d) keupayaan untuk menunjukkan keakuran terhadap keperluan sistem pengurusan kualiti
yang ditetapkan."
ISO 9001,pengurusan,"- keseragaman dalam struktur sistem pengurusan kualiti yang berbeza;
- keselarasan pendokumenan dengan struktur klausa Standard Antarabangsa ini;
- penggunaan istilah khusus Standard Antarabangsa ini dalam organisasi."
ISO 9001,pengurusan,"Keperluan sistem pengurusan kualiti yang dinyatakan dalam Standard Antarabangsa ini
merupakan pelengkap kepada keperluan untuk produk dan perkhidmatan."
ISO 9001,penambahbaikan,"Kitaran PDCA membolehkan sesuatu organisasi memastikan yang prosesnya disumberkan
dan diuruskan secukupnya, dan peluang untuk penambahbaikan ditentukan dan diambil
tindakan."
ISO 9001,kawalan,"Pemikiran berasaskan risiko membolehkan sesuatu organisasi menentukan faktor yang boleh
menyebabkan proses dan sistem pengurusan kualitinya menyimpang daripada hasil yang
dirancang, menyediakan kawalan pencegahan untuk meminimumkan kesan negatif dan
untuk menggunakan secara maksimum peluang yang wujud (lihat Klausa A.4)."
ISO 9001,pengurusan,"Pemikiran berasaskan risiko membolehkan sesuatu organisasi menentukan faktor yang boleh
menyebabkan proses dan sistem pengurusan kualitinya menyimpang daripada hasil yang
dirancang, menyediakan kawalan pencegahan untuk meminimumkan kesan negatif dan
untuk menggunakan secara maksimum peluang yang wujud (lihat Klausa A.4)."
ISO 9001,penambahbaikan,"Memenuhi kehendak serta menangani keperluan dan jangkaan masa depan secara tekal
menjadi cabaran kepada organisasi dalam persekitaran yang semakin dinamik dan kompleks.
Bagi mencapai matlamat ini, organisasi mungkin perlu mengguna terima pelbagai bentuk
penambahbaikan sebagai tambahan kepada pembetulan dan penambahbaikan berterusan,
seperti perubahan besar, inovasi dan penyusunan semula organisasi."
ISO 9001,pengurusan,0.2 Prinsip pengurusan kualiti
ISO 9001,dasar,"Standard Antarabangsa ini berdasarkan prinsip pengurusan kualiti yang diperihalkan dalam
ISO 9000. Pemerihalan termasuk pernyataan tentang setiap prinsip, rasional tentang sebab
prinsip itu penting bagi organisasi, beberapa contoh manfaat yang berkaitan dengan prinsip
itu dan contoh tindakan biasa untuk menambah baik prestasi organisasi apabila
menggunakan prinsip itu."
ISO 9001,pengurusan,"Standard Antarabangsa ini berdasarkan prinsip pengurusan kualiti yang diperihalkan dalam
ISO 9000. Pemerihalan termasuk pernyataan tentang setiap prinsip, rasional tentang sebab
prinsip itu penting bagi organisasi, beberapa contoh manfaat yang berkaitan dengan prinsip
itu dan contoh tindakan biasa untuk menambah baik prestasi organisasi apabila
menggunakan prinsip itu."
ISO 9001,prestasi,"Standard Antarabangsa ini berdasarkan prinsip pengurusan kualiti yang diperihalkan dalam
ISO 9000. Pemerihalan termasuk pernyataan tentang setiap prinsip, rasional tentang sebab
prinsip itu penting bagi organisasi, beberapa contoh manfaat yang berkaitan dengan prinsip
itu dan contoh tindakan biasa untuk menambah baik prestasi organisasi apabila
menggunakan prinsip itu."
ISO 9001,pengurusan,Prinsip pengurusan kualiti adalah seperti yang berikut:
ISO 9001,pelanggan,"- fokus pelanggan;
- kepimpinan;"
ISO 9001,penambahbaikan,− penambahbaikan;
ISO 9001,pengurusan,− pengurusan perhubungan.
ISO 9001,pengurusan,"Standard Antarabangsa ini menggalakkan penerimagunaan pendekatan proses apabila
membangunkan, melaksanakan dan menambah baik keberkesanan sistem pengurusan
kualiti, bagi meningkatkan kepuasan pelanggan dengan cara memenuhi keperluan
pelanggan. Keperluan khusus yang dianggap penting dalam penerimagunaan pendekatan
proses dimasukkan dalam 4 .4."
ISO 9001,pelanggan,"Standard Antarabangsa ini menggalakkan penerimagunaan pendekatan proses apabila
membangunkan, melaksanakan dan menambah baik keberkesanan sistem pengurusan
kualiti, bagi meningkatkan kepuasan pelanggan dengan cara memenuhi keperluan
pelanggan. Keperluan khusus yang dianggap penting dalam penerimagunaan pendekatan
proses dimasukkan dalam 4 .4."
ISO 9001,prestasi,"Memahami dan mengurus proses saling berkait sebagai suatu sistem adalah menyumbang
kepada keberkesanan dan kecekapan organisasi dalam mencapai hasil yang dimaksudkan.
Pendekatan ini membolehkan organisasi mengawal saling hubungan dan saling
kebergantungan antara proses sistem itu, supaya prestasi keseluruhan organisasi boleh
dipertingkatkan."
ISO 9001,dasar,"Pendekatan proses melibatkan pentakrifan dan pengurusan proses yang sistematik, dan
saling tindaknya, untuk mencapai hasil yang dimaksudkan selaras dengan dasar kualiti dan
hala tuju strategik organisasi. Pengurusan proses dan sistem secara keseluruhan boleh
dicapai dengan menggunakan kitaran PDCA (lihat 0.3.2) dengan tumpuan keseluruhan
terhadap pemikiran berasaskan risiko (lihat 0.3.3) yang bertujuan untuk memanfaatkan
peluang dan mencegah keputusan yang tidak diingini."
