doc_id,doc_title,file_title
MK.OA.01,"Proses Perolehan, Pemantauan dan Penyampaian Perkhidmatan Projek Integrasi Sistem",Manual_Kualiti.Rmd
PK(W).OA.01,Prosedur Kawalan Dokumen Kualiti,PKW_01_Kawalan_Dokumen.Rmd
PK(W).OA.02,Prosedur Pengurusan Rekod Kualiti,PKW_02_Rekod_Kualiti.Rmd
PK(W).OA.03,Prosedur Audit Dalaman,PKW_03_Audit_Dalam.Rmd
PK(W).OA.04,Prosedur Tindakan Pembetulan,PKW_04_Tindakan_Pembetulan.Rmd
PK(W).OA.05,Prosedur Tindakan Pencegahan,PKW_05_Tindakan_Pencegahan.Rmd
PK(W).OA.06,Prosedur Kawalan Penghasilan Output Tak Akur,PKW_06_Kawalan_Output_Tak_Akur.Rmd
PK(S).OA.01,"Prosedur Pengendalian Aduan, Maklumbalas Pelanggan dan Penghargaan Serta Peti Aduan/Cadangan",PKS_01_Pengendalian_Aduan_Pelanggan.Rmd
PK(S).OA.02,Prosedur Mesyuarat Kajian Semula Pengurusan,PKS_02_Kajian_Semula_Pengurusan.Rmd
PK(S).OA.03,Prosedur Perolehan dan Pembayaran kepada Pembekal,PKS_03_Perolehan.Rmd
PK(S).OA.04,Prosedur Pengendalian Latihan,PKS_04_Pengendalian_Latihan.Rmd
PK(S).OA.05,Prosedur Penyediaan Bajet,PKS_05_Bajet.Rmd
PK(S).OA.06,Prosedur Penyenggaraan Teknologi Maklumat dan Komunikasi (ICT),PKS_06_Teknologi_Maklumat.Rmd
PK(S).OA.07,Prosedur Pengurusan Aset dan Utiliti,PKS_07_Utiliti.Rmd
PK(S).OA.08,"Prosedur Pelaksanaan Integriti, Akauntabiliti dan Anti-Rasuah",PKS_08_Pelaksanaan_Integriti_Akauntabiliti_AntiRasuah.Rmd
PK(O).OA.01,"Prosedur Penyediaan Sebut Harga, Pengurusan Tender dan Rundingan Kontrak Projek Integrasi Sistem",PKO_01_Sebut_harga_tender_kontrak.Rmd
PK(O).OA.02,"Prosedur Pengurusan, Pemantauan dan Penyerahan Perkhidmatan Projek Integrasi Sistem",PKO_02_Pemantauan_Penyerahan_Perkhidmatan_Integrasi_Sistem.Rmd
BSC.OA.01,Balanced scorecard,Balanced_Scorecard.Rmd
RAM.OA.01,Pengurusan Penaksiran Risiko (RAM),Pengurusan_Penaksiran_Risiko.Rmd

